ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name
cogu1240,Cogui,South America,10.9485,-73.8043,cogu1240,kog,chib1249,Chibchan
norw1258,Norwegian,Eurasia,59.92,10.71,norw1258,nor,indo1319,Indo-European
unam1242,Unami,North America,35.0264,-98.3201,unam1242,unm,algi1248,Algic
lako1244,Lakota Dida,Africa,5.86012,-5.40633,lako1244,dic,atla1278,Atlantic-Congo
yala1262,Yalarnnga,Australia,-21.731,139.511,yala1262,ylr,pama1250,Pama-Nyungan
wanm1242,Wanman,Australia,-22.7078,122.325,wanm1242,wbt,pama1250,Pama-Nyungan
lund1266,Lunda,Africa,-11.1793,23.8662,lund1266,lun,atla1278,Atlantic-Congo
shin1264,Shina,Eurasia,34.6515,75.287,shin1264,scl,indo1319,Indo-European
siar1238,Siar-Lak,Papunesia,-4.62059,152.892,siar1238,sjr,aust1307,Austronesian
gour1243,Gourmanchéma,Africa,11.6711,1.28489,gour1243,gux,atla1278,Atlantic-Congo
tigo1236,Tigon Mbembe,Africa,6.983995,10.70849,tigo1236,nza,atla1278,Atlantic-Congo
maka1311,Makasar,Papunesia,-5.65551,119.838,maka1311,mak,aust1307,Austronesian
nucl1305,Kannada,Eurasia,13.5878,76.1198,nucl1305,kan,drav1251,Dravidian
nucl1302,Georgian,Eurasia,41.850397,43.78613,nucl1302,kat,kart1248,Kartvelian
darm1243,Darma,Eurasia,29.8629,80.5439,darm1243,drd,sino1245,Sino-Tibetan
wotj1234,Wotjobaluk,Australia,,,wotj1234,xwt,pama1250,Pama-Nyungan
boik1241,Boikin,Papunesia,-3.68297,143.474,boik1241,bzf,nduu1242,Ndu
fwee1238,Fwe,Africa,-17.72372,24.43151,fwee1238,fwe,atla1278,Atlantic-Congo
udih1248,Udihe,Eurasia,46.6309,135.678,udih1248,ude,tung1282,Tungusic
kurt1248,Kurtokha,Eurasia,27.5365,90.9822,kurt1248,xkz,sino1245,Sino-Tibetan
yind1247,Yindjibarndi,Australia,-21.5379,117.001,yind1247,yij,pama1250,Pama-Nyungan
nucl1620,Wahgi,Papunesia,-6.11629,144.665,nucl1620,wgi,nucl1709,Nuclear Trans New Guinea
kaka1265,Kakabe,Africa,10.5962,-11.4418,kaka1265,kke,mand1469,Mande
shar1245,Sharanahua,South America,-9.8626,-71.1232,shar1245,mcd,pano1259,Pano-Tacanan
kuuk1238,Kuuku-Ya'u,Australia,-12.4947,143.165,kuuk1238,kuy,pama1250,Pama-Nyungan
noon1243,Noone,Africa,6.37256,10.5707,noon1243,nhu,atla1278,Atlantic-Congo
ulku1238,Ulkulu,Australia,,,ulku1238,kjn,pama1250,Pama-Nyungan
beem1239,Beembe,Africa,-3.95895,14.1,beem1239,beq,atla1278,Atlantic-Congo
tewa1260,Rio Grande Tewa,North America,35.9053,-106.124,tewa1260,tew,kiow1265,Kiowa-Tanoan
iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,ito,,
paka1251,Pakanha,Australia,-15.0908,142.74,paka1251,pkn,pama1250,Pama-Nyungan
teda1241,Tedaga,Africa,18.0426,14.7717,teda1241,tuq,saha1256,Saharan
bett1235,Betta Kurumba,Eurasia,11.6385,76.6064,bett1235,xub,drav1251,Dravidian
pint1250,Pintupi-Luritja,Australia,-23.2963,130.643,pint1250,piu,pama1250,Pama-Nyungan
iwam1256,Iwam,Papunesia,-4.27346,141.817,iwam1256,iwm,sepi1257,Sepik
ngan1299,Ngangam,Africa,10.2523,0.70509,ngan1299,gng,atla1278,Atlantic-Congo
dera1245,Dera (Indonesia),Papunesia,-3.52309,140.947,dera1245,kbv,sena1264,Senagi
lith1251,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit,indo1319,Indo-European
mezq1235,Mezquital Otomi,North America,20.2274,-99.5564,mezq1235,ote,otom1299,Otomanguean
lowe1385,Lower Sorbian,Eurasia,51.6621,13.9407,lowe1385,dsb,indo1319,Indo-European
muru1274,Murui Huitoto,South America,-1.13669,-73.8331,muru1274,huu,huit1251,Huitotoan
djin1251,Jingulu,Australia,-17.165,133.659,djin1251,jig,mirn1241,Mirndi
chiq1248,Chiquitano,South America,-17.6354,-59.9172,chiq1248,cax,,
moch1256,Mochi,Africa,-3.33743,37.3357,moch1256,old,atla1278,Atlantic-Congo
kera1256,Keramin,,,,kera1256,,pama1250,Pama-Nyungan
luwo1239,Luwo,Africa,7.35089,28.1378,luwo1239,lwo,nilo1247,Nilotic
utes1238,Ute-Southern Paiute,North America,40.0965,-110.305,utes1238,ute,utoa1244,Uto-Aztecan
nort2984,Northern Pame,North America,22.0968,-99.6434,nort2984,pmq,otom1299,Otomanguean
irar1238,Irarutu,Papunesia,-2.94438,133.586,irar1238,irh,aust1307,Austronesian
stan1290,French,Eurasia,48.0,2.0,stan1290,fra,indo1319,Indo-European
abur1243,Abure,Africa,5.21534,-3.64123,abur1243,abu,atla1278,Atlantic-Congo
kang1288,Kanga,Africa,11.0174,29.3463,kang1288,kcp,kadu1256,Kadugli-Krongo
amoo1242,Amo,Africa,10.3229,8.65405,amoo1242,amo,atla1278,Atlantic-Congo
piar1243,Piaroa,South America,4.41805,-67.7574,piar1243,pid,jodi1234,Jodi-Saliban
tani1257,Tanimuca-Retuarã,South America,-0.59023,-70.3853,tani1257,tnc,tuca1253,Tucanoan
nucl1301,Turkish,Eurasia,39.8667,32.8667,nucl1301,tur,turk1311,Turkic
yulp1239,Yulparija,Australia,-18.923519,122.370316,yulp1239,,pama1250,Pama-Nyungan
ikal1242,Ikalanga,Africa,,,ikal1242,kck,atla1278,Atlantic-Congo
tenh1241,Tenharim-Parintintin-Diahoi,South America,-7.92626,-61.936,tenh1241,pah,tupi1275,Tupian
amah1246,Amahuaca,South America,-10.2012,-72.3208,amah1246,amc,pano1259,Pano-Tacanan
ural1274,Urali of Idukki,Eurasia,10.8519,76.8007,ural1274,url,drav1251,Dravidian
hixk1239,Hixkaryána,South America,-0.16265,-58.80153,hixk1239,hix,cari1283,Cariban
embe1262,Emberá-Chamí,South America,4.8791,-76.0749,embe1262,cmi,choc1280,Chocoan
arab1268,Arabela,South America,-1.96126,-75.0612,arab1268,arl,zapa1251,Zaparoan
